Date,Open,High,Low,Close,Adj Close,Volume
2018-04-04,5300.640137,5306.442871,4830.585449,4865.365234,4865.365234,3503939803
2018-04-05,4861.681152,4936.157227,4718.312500,4863.598633,4863.598633,4026647672
2018-04-06,4866.804688,4899.607422,4691.401855,4709.615723,4709.615723,2673202833
2018-04-07,4705.492676,5003.576660,4705.492676,4904.612793,4904.612793,2822092150
2018-04-08,4910.921875,5046.880859,4910.921875,4984.755371,4984.755371,2592263994
2018-04-09,4999.517090,5086.168457,4714.450684,4791.401855,4791.401855,3463350104
2018-04-10,4808.888184,4848.261230,4733.566406,4820.000000,4820.000000,3013222906
2018-04-11,4826.142578,4911.764160,4804.164551,4911.764160,4911.764160,3271931904
2018-04-12,4902.643066,5550.720215,4803.803711,5540.592773,5540.592773,6254828457
2018-04-13,5548.907715,5739.907227,5450.600586,5544.915527,5544.915527,5452570247
2018-04-14,5529.964844,5716.790527,5509.831543,5608.314941,5608.314941,3645667236
2018-04-15,5617.506836,5855.631836,5617.506836,5847.451660,5847.451660,3681887110
2018-04-16,5853.391113,5870.372070,5533.182129,5620.498047,5620.498047,3927542073
2018-04-17,5629.558105,5787.497559,5515.549316,5527.869629,5527.869629,4827478050
2018-04-18,5557.488770,5771.878906,5518.165039,5748.482422,5748.482422,4598204183
2018-04-19,5745.560059,5895.212402,5733.958008,5890.008301,5890.008301,5015771896
2018-04-20,5884.732422,6340.757324,5857.577148,6316.194336,6316.194336,6025069767
2018-04-21,6318.307617,6424.541504,6177.900879,6351.717285,6351.717285,5389896568
2018-04-22,6372.766602,6427.447266,6270.702148,6287.022461,6287.022461,4735304461
2018-04-23,6281.258301,6418.678711,6276.375977,6408.955566,6408.955566,4969637706
2018-04-24,6411.438477,6955.342285,6405.847656,6930.250977,6930.250977,7631530325
2018-04-25,6932.773926,6970.901367,6315.372559,6348.769043,6348.769043,7954568406
2018-04-26,6364.257813,6669.188477,6261.364746,6669.188477,6669.188477,6445756620
2018-04-27,6675.741699,6802.691895,6519.441406,6519.441406,6519.441406,5488784853
2018-04-28,6484.780273,6827.776367,6479.499512,6781.632324,6781.632324,5662299555
2018-04-29,6780.130859,6914.392578,6669.357910,6841.781250,6841.781250,6430595040
2018-04-30,6846.887695,6879.956055,6668.710449,6709.664551,6709.664551,6298228289
2018-05-01,6717.593262,6722.748535,6506.916016,6701.704590,6701.704590,5668420595
2018-05-02,6691.114746,6819.301270,6623.908691,6806.131348,6806.131348,5569756722
2018-05-03,6804.693848,7221.114258,6755.993164,7180.442383,7180.442383,7521959900
2018-05-04,7144.804688,7219.786133,7064.082520,7167.695801,7167.695801,6071988982
2018-05-05,7167.341797,7362.568359,7163.528809,7283.988770,7283.988770,5653864223
2018-05-06,7274.500977,7344.568848,6993.682617,7135.318848,7135.318848,5337580513
2018-05-07,7128.571289,7140.846191,6807.411133,6909.191895,6909.191895,5450405307
2018-05-08,6914.985840,6977.399902,6762.813477,6814.359863,6814.359863,5472159055
2018-05-09,6806.176758,6916.600098,6676.735352,6885.608398,6885.608398,5336255069
2018-05-10,6886.184570,6949.733887,6685.785645,6689.799805,6689.799805,5108883627
2018-05-11,6696.471680,6697.958008,6199.749023,6234.483398,6234.483398,6269217276
2018-05-12,6234.446289,6399.453613,6073.485840,6281.307129,6281.307129,5037946895
2018-05-13,6289.136230,6476.856445,6200.236328,6439.282715,6439.282715,4330070694
2018-05-14,6431.281250,6551.914551,6172.434570,6428.785156,6428.785156,5431189439
2018-05-15,6420.230469,6524.062500,6266.822266,6304.452148,6304.452148,4967560619
2018-05-16,6300.029785,6301.140137,6056.367188,6178.538086,6178.538086,4990934042
2018-05-17,6179.438965,6230.112305,5961.157715,5992.241699,5992.241699,4340042973
